Metric,Value
Bench Press (Kg),80
BW PullUps (Rep),20
BW PushUps (Rep),40
Barbell Curl (Kg),23
Shoulder Press (Kg),50
BW Dips (Rep),15
Squats (Kg),60
Grip Strength,
Leg Press,130
Dead Lift,100
Resting Heart Rate,61 
BW Plank,75
